"","Gene.Symbol","StrataNGSv3","xT","Match type.x","Approved symbol.x","Approved name.x","HGNC ID.x","Location.x","xO","TSO500","Match type.y","Approved symbol.y","Approved name.y","HGNC ID.y","Location.y","FoundationOne","Match type","Approved symbol","Approved name","HGNC ID","Location","MSK"
"22","ADAM17",NA,NA,"Approved symbol","ADAM17","ADAM metallopeptidase domain 17","HGNC:195","2p25.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ADAMTS20","Yes",NA,"Approved symbol","ADAMTS20","ADAM metallopeptidase with thrombospondin type 1 motif 20","HGNC:17178","12q12","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ADRB1",NA,NA,"Approved symbol","ADRB1","adrenoceptor beta 1","HGNC:285","10q25.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ADRB2",NA,NA,"Approved symbol","ADRB2","adrenoceptor beta 2","HGNC:286","5q32","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","AFF1","Yes",NA,"Approved symbol","AFF1","AF4/FMR2 family member 1","HGNC:7135","4q21.3-q22.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","AFF2",NA,NA,"Approved symbol","AFF2","AF4/FMR2 family member 2","HGNC:3776","Xq28","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","AFF3","Yes",NA,"Approved symbol","AFF3","AF4/FMR2 family member 3","HGNC:6473","2q11.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","AGO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Approved symbol","AGO2","argonaute RISC catalytic component 2","HGNC:3263","8q24.3","Yes"
"30","AHR",NA,NA,"Approved symbol","AHR","aryl hydrocarbon receptor","HGNC:348","7p21.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","AIP",NA,NA,"Approved symbol","AIP","aryl hydrocarbon receptor interacting protein","HGNC:358","11q13.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","AJUBA",NA,"Yes","Approved symbol","AJUBA","ajuba LIM protein","HGNC:20250","14q11.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","AKAP9","Yes",NA,"Approved symbol","AKAP9","A-kinase anchoring protein 9","HGNC:379","7q21.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","AKT1","Yes","Yes","Approved symbol","AKT1","AKT serine/threonine kinase 1","HGNC:391","14q32.33","Yes","Yes","Approved symbol","AKT1","AKT serine/threonine kinase 1","HGNC:391","14q32.33","Yes","Approved symbol","AKT1","AKT serine/threonine kinase 1","HGNC:391","14q32.33","Yes"
"35","AKT2","Yes","Yes","Approved symbol","AKT2","AKT serine/threonine kinase 2","HGNC:392","19q13.2","Yes","Yes","Approved symbol","AKT2","AKT serine/threonine kinase 2","HGNC:392","19q13.2","Yes","Approved symbol","AKT2","AKT serine/threonine kinase 2","HGNC:392","19q13.2","Yes"
"36","AKT3","Yes","Yes","Approved symbol","AKT3","AKT serine/threonine kinase 3","HGNC:393","1q43-q44","Yes","Yes","Approved symbol","AKT3","AKT serine/threonine kinase 3","HGNC:393","1q43-q44","Yes","Approved symbol","AKT3","AKT serine/threonine kinase 3","HGNC:393","1q43-q44","Yes"
"37","ALK","Yes","Yes","Approved symbol","ALK","ALK receptor tyrosine kinase","HGNC:427","2p23.2-p23.1","Yes","Yes","Approved symbol","ALK","ALK receptor tyrosine kinase","HGNC:427","2p23.2-p23.1","Yes","Approved symbol","ALK","ALK receptor tyrosine kinase","HGNC:427","2p23.2-p23.1","Yes"
"38","ALKBH6",NA,NA,"Approved symbol","ALKBH6","alkB homolog 6","HGNC:28243","19q13.12","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","ALOX12B",NA,NA,"Approved symbol","ALOX12B","arachidonate 12-lipoxygenase, 12R type","HGNC:430","17p13.1","Yes","Yes","Approved symbol","ALOX12B","arachidonate 12-lipoxygenase, 12R type","HGNC:430","17p13.1","Yes","Approved symbol","ALOX12B","arachidonate 12-lipoxygenase, 12R type","HGNC:430","17p13.1","Yes"
"40","ALOX5",NA,NA,"Approved symbol","ALOX5","arachidonate 5-lipoxygenase","HGNC:435","10q11.21","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","AMER1",NA,"Yes","Approved symbol","AMER1","APC membrane recruitment protein 1","HGNC:26837","Xq11.2","Yes",NA,"Approved symbol","AMER1","APC membrane recruitment protein 1","HGNC:26837","Xq11.2","Yes","Approved symbol","AMER1","APC membrane recruitment protein 1","HGNC:26837","Xq11.2","Yes"
"42","ANKRD11",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","ANKRD11","ankyrin repeat domain 11","HGNC:21316","16q24.3","Yes"
"43","ANKRD26",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","APC","Yes","Yes","Approved symbol","APC","APC regulator of WNT signaling pathway","HGNC:583","5q22.2","Yes","Yes","Approved symbol","APC","APC regulator of WNT signaling pathway","HGNC:583","5q22.2","Yes","Approved symbol","APC","APC regulator of WNT signaling pathway","HGNC:583","5q22.2","Yes"
"45","APEX1",NA,NA,"Approved symbol","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1","HGNC:587","14q11.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","APH1A",NA,NA,"Approved symbol","APH1A","aph-1 homolog A, gamma-secretase subunit","HGNC:29509","1q21.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","APLNR",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","APOA1",NA,NA,"Approved symbol","APOA1","apolipoprotein A1","HGNC:600","11q23.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","APOB",NA,"Yes","Approved symbol","APOB","apolipoprotein B","HGNC:603","2p24.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","AR","Yes","Yes","Approved symbol","AR","androgen receptor","HGNC:644","Xq12","Yes","Yes","Approved symbol","AR","androgen receptor","HGNC:644","Xq12","Yes","Approved symbol","AR","androgen receptor","HGNC:644","Xq12","Yes"
"51","ARAF","Yes","Yes","Approved symbol","ARAF","A-Raf proto-oncogene, serine/threonine kinase","HGNC:646","Xp11.3","Yes","Yes","Approved symbol","ARAF","A-Raf proto-oncogene, serine/threonine kinase","HGNC:646","Xp11.3","Yes","Approved symbol","ARAF","A-Raf proto-oncogene, serine/threonine kinase","HGNC:646","Xp11.3","Yes"
"52","AREG",NA,NA,"Approved symbol","AREG","amphiregulin","HGNC:651","4q13.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","ARFRP1",NA,NA,"Approved symbol","ARFRP1","ADP ribosylation factor related protein 1","HGNC:662","20q13.33","Yes","Yes","Approved symbol","ARFRP1","ADP ribosylation factor related protein 1","HGNC:662","20q13.33","Yes",NA,NA,NA,NA,NA,NA
"54","ARHGAP10",NA,NA,"Approved symbol","ARHGAP10","Rho GTPase activating protein 10","HGNC:26099","4q31.23","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","ARHGAP26",NA,"Yes","Approved symbol","ARHGAP26","Rho GTPase activating protein 26","HGNC:17073","5q31.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","ARHGAP35",NA,"Yes","Approved symbol","ARHGAP35","Rho GTPase activating protein 35","HGNC:4591","19q13.32","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","ARID1A","Yes","Yes","Approved symbol","ARID1A","AT-rich interaction domain 1A","HGNC:11110","1p36.11","Yes","Yes","Approved symbol","ARID1A","AT-rich interaction domain 1A","HGNC:11110","1p36.11","Yes","Approved symbol","ARID1A","AT-rich interaction domain 1A","HGNC:11110","1p36.11","Yes"
"58","ARID1B",NA,"Yes","Approved symbol","ARID1B","AT-rich interaction domain 1B","HGNC:18040","6q25.3","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","ARID1B","AT-rich interaction domain 1B","HGNC:18040","6q25.3","Yes"
"59","ARID2","Yes","Yes","Approved symbol","ARID2","AT-rich interaction domain 2","HGNC:18037","12q12","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","ARID2","AT-rich interaction domain 2","HGNC:18037","12q12","Yes"
"60","ARID5B",NA,"Yes","Approved symbol","ARID5B","AT-rich interaction domain 5B","HGNC:17362","10q21.2","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","ARID5B","AT-rich interaction domain 5B","HGNC:17362","10q21.2","Yes"
"61","ARNT","Yes",NA,"Approved symbol","ARNT","aryl hydrocarbon receptor nuclear translocator","HGNC:700","1q21.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","ARNT2",NA,NA,"Approved symbol","ARNT2","aryl hydrocarbon receptor nuclear translocator 2","HGNC:16876","15q25.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","ARPC1A",NA,NA,"Approved symbol","ARPC1A","actin related protein 2/3 complex subunit 1A","HGNC:703","7q22.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","ARPC1B",NA,NA,"Approved symbol","ARPC1B","actin related protein 2/3 complex subunit 1B","HGNC:704","7q22.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","ARTN",NA,NA,"Approved symbol","ARTN","artemin","HGNC:727","1p34.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","ARX",NA,NA,"Approved symbol","ARX","aristaless related homeobox","HGNC:18060","Xp21.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","ASCL1",NA,NA,"Approved symbol","ASCL1","achaete-scute family bHLH transcription factor 1","HGNC:738","12q23.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","ASCL2",NA,NA,"Approved symbol","ASCL2","achaete-scute family bHLH transcription factor 2","HGNC:739","11p15.5","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","ASCL3",NA,NA,"Approved symbol","ASCL3","achaete-scute family bHLH transcription factor 3","HGNC:740","11p15.4","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","ASCL4",NA,NA,"Approved symbol","ASCL4","achaete-scute family bHLH transcription factor 4","HGNC:24311","12q23.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","ASCL5",NA,NA,"Approved symbol","ASCL5","achaete-scute family bHLH transcription factor 5","HGNC:33169","1q32.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","ASH1L",NA,NA,"Approved symbol","ASH1L","ASH1 like histone lysine methyltransferase","HGNC:19088","1q22","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","ASH2L",NA,NA,"Approved symbol","ASH2L","ASH2 like, histone lysine methyltransferase complex subunit","HGNC:744","8p11.23","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","ASNS",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","ASPSCR1",NA,NA,"Approved symbol","ASPSCR1","ASPSCR1 tether for SLC2A4, UBX domain containing","HGNC:13825","17q25.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","ASXL1","Yes","Yes","Approved symbol","ASXL1","ASXL transcriptional regulator 1","HGNC:18318","20q11.21","Yes","Yes","Approved symbol","ASXL1","ASXL transcriptional regulator 1","HGNC:18318","20q11.21","Yes","Approved symbol","ASXL1","ASXL transcriptional regulator 1","HGNC:18318","20q11.21","Yes"
"77","ASXL2",NA,NA,"Approved symbol","ASXL2","ASXL transcriptional regulator 2","HGNC:23805","2p23.3","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","ASXL2","ASXL transcriptional regulator 2","HGNC:23805","2p23.3","Yes"
"78","ASXL3",NA,NA,"Approved symbol","ASXL3","ASXL transcriptional regulator 3","HGNC:29357","18q12.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","ATAD2",NA,NA,"Approved symbol","ATAD2","ATPase family AAA domain containing 2","HGNC:30123","8q24.13","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","ATAD2B",NA,NA,"Approved symbol","ATAD2B","ATPase family AAA domain containing 2B","HGNC:29230","2p24.1-p23.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","ATF1","Yes",NA,"Approved symbol","ATF1","activating transcription factor 1","HGNC:783","12q13.12","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","ATIC",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","ATM","Yes","Yes","Approved symbol","ATM","ATM serine/threonine kinase","HGNC:795","11q22.3","Yes","Yes","Approved symbol","ATM","ATM serine/threonine kinase","HGNC:795","11q22.3","Yes","Approved symbol","ATM","ATM serine/threonine kinase","HGNC:795","11q22.3","Yes"
"84","ATP7B",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","ATR","Yes","Yes","Approved symbol","ATR","ATR serine/threonine kinase","HGNC:882","3q23","Yes","Yes","Approved symbol","ATR","ATR serine/threonine kinase","HGNC:882","3q23","Yes","Approved symbol","ATR","ATR serine/threonine kinase","HGNC:882","3q23","Yes"
"86","ATRX","Yes","Yes","Approved symbol","ATRX","ATRX chromatin remodeler","HGNC:886","Xq21.1","Yes","Yes","Approved symbol","ATRX","ATRX chromatin remodeler","HGNC:886","Xq21.1","Yes","Approved symbol","ATRX","ATRX chromatin remodeler","HGNC:886","Xq21.1","Yes"
"87","AURKA","Yes","Yes","Approved symbol","AURKA","aurora kinase A","HGNC:11393","20q13.2","Yes","Yes","Approved symbol","AURKA","aurora kinase A","HGNC:11393","20q13.2","Yes","Approved symbol","AURKA","aurora kinase A","HGNC:11393","20q13.2","Yes"
"88","AURKB","Yes","Yes","Approved symbol","AURKB","aurora kinase B","HGNC:11390","17p13.1","Yes","Yes","Approved symbol","AURKB","aurora kinase B","HGNC:11390","17p13.1","Yes","Approved symbol","AURKB","aurora kinase B","HGNC:11390","17p13.1","Yes"
"89","AURKC","Yes",NA,"Approved symbol","AURKC","aurora kinase C","HGNC:11391","19q13.43","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","AXIN1",NA,"Yes","Approved symbol","AXIN1","axin 1","HGNC:903","16p13.3","Yes","Yes","Approved symbol","AXIN1","axin 1","HGNC:903","16p13.3","Yes","Approved symbol","AXIN1","axin 1","HGNC:903","16p13.3","Yes"
"91","AXIN2",NA,"Yes","Approved symbol","AXIN2","axin 2","HGNC:904","17q24.1","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","AXIN2","axin 2","HGNC:904","17q24.1","Yes"
"92","AXL","Yes","Yes","Approved symbol","AXL","AXL receptor tyrosine kinase","HGNC:905","19q13.2","Yes","Yes","Approved symbol","AXL","AXL receptor tyrosine kinase","HGNC:905","19q13.2","Yes","Approved symbol","AXL","AXL receptor tyrosine kinase","HGNC:905","19q13.2","Yes"
"93","B2M",NA,"Yes","Approved symbol","B2M","beta-2-microglobulin","HGNC:914","15q21.1","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","B2M","beta-2-microglobulin","HGNC:914","15q21.1","Yes"
"94","BABAM1",NA,NA,"Approved symbol","BABAM1","BRISC and BRCA1 A complex member 1","HGNC:25008","19p13.11","Yes",NA,NA,NA,NA,NA,NA,NA,"Approved symbol","BABAM1","BRISC and BRCA1 A complex member 1","HGNC:25008","19p13.11","Yes"
"95","BACH1",NA,NA,"Approved symbol","BACH1","BTB domain and CNC homolog 1","HGNC:935","21q21.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","BACH2",NA,NA,"Approved symbol","BACH2","BTB domain and CNC homolog 2","HGNC:14078","6q15","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","BAG4",NA,NA,"Approved symbol","BAG4","BCL2 associated athanogene 4","HGNC:940","8p11.23","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","BAI3","Yes",NA,"Previous symbol","ADGRB3","adhesion G protein-coupled receptor B3","HGNC:945","6q12-q13","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","BAP1","Yes","Yes","Approved symbol","BAP1","BRCA1 associated protein 1","HGNC:950","3p21.1","Yes","Yes","Approved symbol","BAP1","BRCA1 associated protein 1","HGNC:950","3p21.1","Yes","Approved symbol","BAP1","BRCA1 associated protein 1","HGNC:950","3p21.1","Yes"
"100","BARD1",NA,"Yes","Approved symbol","BARD1","BRCA1 associated RING domain 1","HGNC:952","2q35","Yes","Yes","Approved symbol","BARD1","BRCA1 associated RING domain 1","HGNC:952","2q35","Yes","Approved symbol","BARD1","BRCA1 associated RING domain 1","HGNC:952","2q35","Yes"
"101","BAX",NA,NA,"Approved symbol","BAX","BCL2 associated X, apoptosis regulator","HGNC:959","19q13.33","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","BAZ1A",NA,NA,"Approved symbol","BAZ1A","bromodomain adjacent to zinc finger domain 1A","HGNC:960","14q13.1-q13.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","BAZ1B",NA,NA,"Approved symbol","BAZ1B","bromodomain adjacent to zinc finger domain 1B","HGNC:961","7q11.23","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","BAZ2A",NA,NA,"Approved symbol","BAZ2A","bromodomain adjacent to zinc finger domain 2A","HGNC:962","12q13.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","BAZ2B",NA,NA,"Approved symbol","BAZ2B","bromodomain adjacent to zinc finger domain 2B","HGNC:963","2q24.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","BBC3",NA,NA,"Approved symbol","BBC3","BCL2 binding component 3","HGNC:17868","19q13.32","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","BBC3","BCL2 binding component 3","HGNC:17868","19q13.32","Yes"
"107","BCAR3",NA,NA,"Approved symbol","BCAR3","BCAR3 adaptor protein, NSP family member","HGNC:973","1p22.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","BCL10","Yes","Yes","Approved symbol","BCL10","BCL10 immune signaling adaptor","HGNC:989","1p22.3","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","BCL10","BCL10 immune signaling adaptor","HGNC:989","1p22.3","Yes"
"109","BCL11A","Yes",NA,"Approved symbol","BCL11A","BAF chromatin remodeling complex subunit BCL11A","HGNC:13221","2p16.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","BCL11B","Yes","Yes","Approved symbol","BCL11B","BAF chromatin remodeling complex subunit BCL11B","HGNC:13222","14q32.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","BCL2","Yes","Yes","Approved symbol","BCL2","BCL2 apoptosis regulator","HGNC:990","18q21.33","Yes","Yes","Approved symbol","BCL2","BCL2 apoptosis regulator","HGNC:990","18q21.33","Yes","Approved symbol","BCL2","BCL2 apoptosis regulator","HGNC:990","18q21.33","Yes"
"112","BCL2A1",NA,NA,"Approved symbol","BCL2A1","BCL2 related protein A1","HGNC:991","15q25.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","BCL2L1","Yes","Yes","Approved symbol","BCL2L1","BCL2 like 1","HGNC:992","20q11.21","Yes","Yes","Approved symbol","BCL2L1","BCL2 like 1","HGNC:992","20q11.21","Yes","Approved symbol","BCL2L1","BCL2 like 1","HGNC:992","20q11.21","Yes"
"114","BCL2L11",NA,"Yes","Approved symbol","BCL2L11","BCL2 like 11","HGNC:994","2q13","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","BCL2L11","BCL2 like 11","HGNC:994","2q13","Yes"
"115","BCL2L2","Yes",NA,"Approved symbol","BCL2L2","BCL2 like 2","HGNC:995","14q11.2","Yes","Yes","Approved symbol","BCL2L2","BCL2 like 2","HGNC:995","14q11.2","Yes",NA,NA,NA,NA,NA,NA
"116","BCL3","Yes",NA,"Approved symbol","BCL3","BCL3 transcription coactivator","HGNC:998","19q13.32","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","BCL6","Yes","Yes","Approved symbol","BCL6","BCL6 transcription repressor","HGNC:1001","3q27.3","Yes","Yes","Approved symbol","BCL6","BCL6 transcription repressor","HGNC:1001","3q27.3","Yes","Approved symbol","BCL6","BCL6 transcription repressor","HGNC:1001","3q27.3","Yes"
"118","BCL7A",NA,"Yes","Approved symbol","BCL7A","BAF chromatin remodeling complex subunit BCL7A","HGNC:1004","12q24.31","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","BCL9","Yes",NA,"Approved symbol","BCL9","BCL9 transcription coactivator","HGNC:1008","1q21.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","BCLAF1",NA,"Yes","Approved symbol","BCLAF1","BCL2 associated transcription factor 1","HGNC:16863","6q23.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","BCOR",NA,"Yes","Approved symbol","BCOR","BCL6 corepressor","HGNC:20893","Xp11.4","Yes","Yes","Approved symbol","BCOR","BCL6 corepressor","HGNC:20893","Xp11.4","Yes","Approved symbol","BCOR","BCL6 corepressor","HGNC:20893","Xp11.4","Yes"
